month,year,month_num,quarter_label,year_quarter,region,region_abbr,region_group,geo_level,industry,active_businesses,opening_businesses,continuing_businesses,closing_businesses,reopening_businesses,entrants,temporary_closures,exits,net_openings,gross_churn,closure_to_opening_ratio,entrant_share_of_openings,reopening_share_of_openings,exit_share_of_closings,temporary_closure_share_of_closings,formula_check_opening_eq_entrants_plus_reopening,formula_check_closing_eq_exits_plus_tempclosures,suppressed_measure_count,complete_row_all_8_measures
2015-11,2015,11,Q4,2015-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],125150.0,6711.0,118777.0,6404.0,4025.0,2686.0,3812.0,2592.0,307.0,13115.0,0.9542542095067799,0.4002384145432871,0.5997615854567129,0.4047470331043098,0.5952529668956902,1,1,0,1
2015-12,2015,12,Q4,2015-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],124662.0,6289.0,118886.0,6665.0,3327.0,2962.0,4174.0,2491.0,-376.0,12954.0,1.0597869295595483,0.4709810780728256,0.5290189219271745,0.37374343585896475,0.6262565641410353,1,1,0,1
2016-01,2016,1,Q1,2016-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],126223.0,6602.0,119213.0,6119.0,4323.0,2279.0,3638.0,2481.0,483.0,12721.0,0.926840351408664,0.3451984247197819,0.6548015752802181,0.40545840823664,0.5945415917633601,1,1,0,1
2016-02,2016,2,Q1,2016-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],123743.0,6203.0,117044.0,8220.0,4099.0,2104.0,5574.0,2646.0,-2017.0,14423.0,1.3251652426245366,0.3391907141705626,0.6608092858294373,0.3218978102189781,0.6781021897810219,1,1,0,1
2016-03,2016,3,Q1,2016-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],123117.0,6389.0,116770.0,6975.0,4189.0,2200.0,4365.0,2610.0,-586.0,13364.0,1.0917201439974957,0.3443418375332603,0.6556581624667397,0.3741935483870968,0.6258064516129033,1,1,0,1
2016-04,2016,4,Q2,2016-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],122846.0,6651.0,116312.0,6863.0,4367.0,2284.0,4287.0,2576.0,-212.0,13514.0,1.0318749060291685,0.3434070064651932,0.6565929935348068,0.3753460585749672,0.6246539414250328,1,1,0,1
2016-05,2016,5,Q2,2016-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],122147.0,6294.0,115833.0,7074.0,3971.0,2323.0,4373.0,2701.0,-780.0,13368.0,1.1239275500476644,0.3690816650778519,0.6309183349221481,0.3818207520497597,0.6181792479502403,1,1,0,1
2016-06,2016,6,Q2,2016-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],121847.0,5890.0,115686.0,6243.0,4194.0,1696.0,4261.0,1982.0,-353.0,12133.0,1.0599320882852292,0.2879456706281834,0.7120543293718167,0.31747557264135834,0.6825244273586417,1,1,0,1
2016-07,2016,7,Q3,2016-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],121471.0,7090.0,114481.0,7101.0,4216.0,2874.0,3798.0,3303.0,-11.0,14191.0,1.0015514809590973,0.4053596614950635,0.5946403385049366,0.46514575411913817,0.5348542458808618,1,1,0,1
2016-08,2016,8,Q3,2016-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],121111.0,6222.0,114917.0,6664.0,4007.0,2215.0,4118.0,2546.0,-442.0,12886.0,1.0710382513661203,0.3559948569591771,0.6440051430408229,0.3820528211284514,0.6179471788715486,1,1,0,1
2016-09,2016,9,Q3,2016-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120699.0,6164.0,114640.0,6678.0,4208.0,1956.0,4267.0,2411.0,-514.0,12842.0,1.083387410772226,0.3173264114211551,0.6826735885788449,0.361036238394729,0.638963761605271,1,1,0,1
2016-10,2016,10,Q4,2016-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120494.0,6500.0,114203.0,6531.0,4235.0,2265.0,4148.0,2383.0,-31.0,13031.0,1.0047692307692309,0.3484615384615385,0.6515384615384615,0.3648752105343745,0.6351247894656255,1,1,0,1
2016-11,2016,11,Q4,2016-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120329.0,7217.0,113461.0,7015.0,4203.0,3014.0,4021.0,2994.0,202.0,14232.0,0.9720105306914231,0.4176250519606485,0.5823749480393515,0.42679971489665003,0.57320028510335,1,1,0,1
2016-12,2016,12,Q4,2016-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120527.0,6522.0,114252.0,6432.0,4152.0,2370.0,3967.0,2465.0,90.0,12954.0,0.9862005519779209,0.36338546458141674,0.6366145354185833,0.38324004975124376,0.6167599502487562,1,1,0,1
2017-01,2017,1,Q1,2017-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120799.0,6334.0,114245.0,6542.0,4046.0,2288.0,4093.0,2449.0,-208.0,12876.0,1.0328386485633092,0.3612251341964004,0.6387748658035997,0.3743503515744421,0.6256496484255579,1,1,0,1
2017-02,2017,2,Q1,2017-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],121167.0,6513.0,114285.0,6151.0,4114.0,2399.0,4029.0,2122.0,362.0,12664.0,0.9444188545984953,0.3683402425917396,0.6316597574082604,0.3449845553568525,0.6550154446431474,1,1,0,1
2017-03,2017,3,Q1,2017-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120101.0,6461.0,113883.0,7314.0,4116.0,2345.0,4904.0,2410.0,-853.0,13775.0,1.132022906670794,0.3629469122426869,0.6370530877573131,0.32950505879135905,0.670494941208641,1,1,0,1
2017-04,2017,4,Q2,2017-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120220.0,6303.0,113834.0,6320.0,4074.0,2229.0,4002.0,2318.0,-17.0,12623.0,1.0026971283515786,0.35364112327463115,0.6463588767253688,0.3667721518987342,0.6332278481012659,1,1,0,1
2017-05,2017,5,Q2,2017-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120820.0,6484.0,114321.0,5703.0,4260.0,2224.0,3530.0,2173.0,781.0,12187.0,0.8795496607032696,0.3429981492905614,0.6570018507094386,0.38102752937050677,0.6189724706294932,1,1,0,1
2017-06,2017,6,Q2,2017-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],121115.0,6342.0,114575.0,6098.0,4051.0,2291.0,3880.0,2218.0,244.0,12440.0,0.9615263323872595,0.3612425102491328,0.6387574897508672,0.3637258117415546,0.6362741882584454,1,1,0,1
2017-07,2017,7,Q3,2017-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120228.0,5525.0,114591.0,6345.0,3502.0,2023.0,4047.0,2298.0,-820.0,11870.0,1.14841628959276,0.36615384615384616,0.6338461538461538,0.3621749408983452,0.6378250591016549,1,1,0,1
2017-08,2017,8,Q3,2017-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120413.0,6624.0,113826.0,6491.0,4359.0,2265.0,4215.0,2276.0,133.0,13115.0,0.9799214975845411,0.34193840579710144,0.6580615942028986,0.35063934678786013,0.6493606532121399,1,1,0,1
2017-09,2017,9,Q3,2017-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],121188.0,7084.0,114258.0,6383.0,4689.0,2395.0,3923.0,2460.0,701.0,13467.0,0.9010446075663467,0.338085827216262,0.661914172783738,0.38539871533761555,0.6146012846623845,1,1,0,1
2017-10,2017,10,Q4,2017-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120602.0,6095.0,114662.0,6570.0,3766.0,2329.0,4229.0,2341.0,-475.0,12665.0,1.077932731747334,0.38211648892534866,0.6178835110746513,0.3563165905631659,0.6436834094368341,1,1,0,1
2017-11,2017,11,Q4,2017-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120466.0,6033.0,114655.0,5902.0,3963.0,2070.0,3985.0,1917.0,131.0,11935.0,0.9782860931543179,0.3431128791645947,0.6568871208354052,0.3248051507963402,0.6751948492036598,1,1,0,1
2017-12,2017,12,Q4,2017-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120335.0,6281.0,114239.0,6509.0,4179.0,2102.0,4215.0,2294.0,-228.0,12790.0,1.036299952236905,0.3346600859735711,0.6653399140264289,0.35243508987555694,0.6475649101244431,1,1,0,1
2018-01,2018,1,Q1,2018-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120109.0,6090.0,113953.0,6466.0,3961.0,2129.0,4160.0,2306.0,-376.0,12556.0,1.0617405582922825,0.3495894909688013,0.6504105090311987,0.35663470460872254,0.6433652953912774,1,1,0,1
2018-02,2018,2,Q1,2018-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120357.0,6358.0,113737.0,6278.0,4068.0,2290.0,4074.0,2204.0,80.0,12636.0,0.9874174268637936,0.3601761560239069,0.6398238439760932,0.3510672188595094,0.6489327811404906,1,1,0,1
2018-03,2018,3,Q1,2018-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120425.0,6395.0,113854.0,6449.0,4126.0,2269.0,4153.0,2296.0,-54.0,12844.0,1.0084440969507427,0.3548084440969507,0.6451915559030492,0.35602418979686773,0.6439758102031322,1,1,0,1
2018-04,2018,4,Q2,2018-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120440.0,6213.0,114201.0,6132.0,3972.0,2241.0,3913.0,2219.0,81.0,12345.0,0.9869628198937711,0.3606953162723322,0.6393046837276678,0.3618721461187215,0.6381278538812786,1,1,0,1
2018-05,2018,5,Q2,2018-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120276.0,6262.0,113904.0,6359.0,4001.0,2261.0,4014.0,2345.0,-97.0,12621.0,1.0154902587032897,0.36106675183647396,0.638933248163526,0.3687686743198616,0.6312313256801384,1,1,0,1
2018-06,2018,6,Q2,2018-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120467.0,6814.0,113473.0,6569.0,4615.0,2199.0,4346.0,2223.0,245.0,13383.0,0.9640446140299384,0.3227179336659818,0.6772820663340182,0.3384076724006698,0.6615923275993302,1,1,0,1
2018-07,2018,7,Q3,2018-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120289.0,6325.0,113943.0,6377.0,4189.0,2136.0,4145.0,2232.0,-52.0,12702.0,1.0082213438735177,0.33770750988142295,0.662292490118577,0.3500078406774345,0.6499921593225655,1,1,0,1
2018-08,2018,8,Q3,2018-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120060.0,6606.0,113543.0,6832.0,4111.0,2495.0,4180.0,2652.0,-226.0,13438.0,1.034211323039661,0.37768695125643353,0.6223130487435664,0.3881733021077283,0.6118266978922716,1,1,0,1
2018-09,2018,9,Q3,2018-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120000.0,6683.0,113534.0,6764.0,4405.0,2278.0,4531.0,2233.0,-81.0,13447.0,1.0121203052521324,0.34086488104144846,0.6591351189585516,0.33013010053222946,0.6698698994677705,1,1,0,1
2018-10,2018,10,Q4,2018-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],119966.0,6700.0,113451.0,6637.0,4392.0,2308.0,4362.0,2275.0,63.0,13337.0,0.9905970149253731,0.3444776119402985,0.6555223880597015,0.3427753503088745,0.6572246496911255,1,1,0,1
2018-11,2018,11,Q4,2018-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],119809.0,8265.0,112041.0,8082.0,4293.0,3972.0,4272.0,3810.0,183.0,16347.0,0.9778584392014519,0.4805807622504537,0.5194192377495462,0.47141796585003715,0.5285820341499629,1,1,0,1
2018-12,2018,12,Q4,2018-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],119836.0,6359.0,113329.0,6717.0,4108.0,2251.0,4526.0,2191.0,-358.0,13076.0,1.056298160088064,0.3539864758609844,0.6460135241390156,0.3261872859907697,0.6738127140092303,1,1,0,1
2019-01,2019,1,Q1,2019-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],119538.0,6566.0,113067.0,6635.0,4316.0,2250.0,4435.0,2200.0,-69.0,13201.0,1.010508681084374,0.34267438318611027,0.6573256168138898,0.3315749811605124,0.6684250188394876,1,1,0,1
2019-02,2019,2,Q1,2019-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],119821.0,6434.0,113219.0,6410.0,4326.0,2108.0,4218.0,2192.0,24.0,12844.0,0.9962698165993161,0.327634442026733,0.672365557973267,0.3419656786271451,0.6580343213728549,1,1,0,1
2019-03,2019,3,Q1,2019-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],119978.0,6521.0,113386.0,6327.0,4340.0,2181.0,4186.0,2141.0,194.0,12848.0,0.9702499616623217,0.33445790522925933,0.6655420947707407,0.3383910226015489,0.661608977398451,1,1,0,1
2019-04,2019,4,Q2,2019-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120035.0,6446.0,113312.0,6575.0,4355.0,2091.0,4394.0,2181.0,-129.0,13021.0,1.0200124107973938,0.32438721687868444,0.6756127831213156,0.3317110266159696,0.6682889733840304,1,1,0,1
2019-05,2019,5,Q2,2019-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120106.0,6779.0,113201.0,6704.0,4539.0,2240.0,4452.0,2252.0,75.0,13483.0,0.9889364213010768,0.33043221714117127,0.6695677828588288,0.33591885441527447,0.6640811455847255,1,1,0,1
2019-06,2019,6,Q2,2019-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],120090.0,6647.0,113299.0,6558.0,4307.0,2340.0,4174.0,2384.0,89.0,13205.0,0.9866105009778847,0.35203851361516475,0.6479614863848353,0.36352546508081734,0.6364745349191827,1,1,0,1
2019-07,2019,7,Q3,2019-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],119991.0,6428.0,113601.0,6474.0,4184.0,2244.0,4171.0,2303.0,-46.0,12902.0,1.007156191661481,0.3490976975731176,0.6509023024268824,0.3557306147667593,0.6442693852332406,1,1,0,1
2019-08,2019,8,Q3,2019-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],119895.0,6290.0,113825.0,6222.0,4103.0,2187.0,3832.0,2390.0,68.0,12512.0,0.9891891891891892,0.3476947535771065,0.6523052464228934,0.3841208614593378,0.6158791385406621,1,1,0,1
2019-09,2019,9,Q3,2019-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],119871.0,6388.0,113756.0,6473.0,4067.0,2321.0,3998.0,2475.0,-85.0,12861.0,1.0133061991233563,0.36333750782717594,0.636662492172824,0.38235748493743243,0.6176425150625676,1,1,0,1
2019-10,2019,10,Q4,2019-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],119606.0,6071.0,113623.0,6350.0,4029.0,2042.0,4052.0,2298.0,-279.0,12421.0,1.0459561851424806,0.3363531543403064,0.6636468456596937,0.3618897637795276,0.6381102362204725,1,1,0,1
2019-11,2019,11,Q4,2019-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],119249.0,6056.0,113468.0,6221.0,3975.0,2081.0,3903.0,2318.0,-165.0,12277.0,1.0272457067371201,0.3436261558784676,0.6563738441215323,0.37260890532068797,0.627391094679312,1,1,0,1
2019-12,2019,12,Q4,2019-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],119661.0,6252.0,113207.0,6250.0,3983.0,2269.0,3953.0,2297.0,2.0,12502.0,0.9996801023672425,0.36292386436340374,0.6370761356365963,0.36752,0.63248,1,1,0,1
2020-01,2020,1,Q1,2020-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],118772.0,6106.0,112861.0,6500.0,4047.0,2059.0,4120.0,2380.0,-394.0,12606.0,1.0645266950540453,0.3372093023255814,0.6627906976744186,0.36615384615384616,0.6338461538461538,1,1,0,1
2020-02,2020,2,Q1,2020-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],118331.0,5306.0,112856.0,5953.0,3539.0,1767.0,3796.0,2157.0,-647.0,11259.0,1.1219374293252922,0.3330192235205428,0.6669807764794572,0.36233831681505124,0.6376616831849488,1,1,0,1
2020-03,2020,3,Q1,2020-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],115124.0,5521.0,109530.0,8186.0,3961.0,1560.0,5739.0,2447.0,-2665.0,13707.0,1.4827024089838798,0.2825575076978808,0.7174424923021192,0.29892499389201077,0.7010750061079892,1,1,0,1
2020-04,2020,4,Q2,2020-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],108745.0,5669.0,102659.0,13316.0,4023.0,1646.0,9869.0,3447.0,-7647.0,18985.0,2.34891515258423,0.29035103192802963,0.7096489680719703,0.25886151997596873,0.7411384800240313,1,1,0,1
2020-05,2020,5,Q2,2020-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],105564.0,6915.0,98592.0,10709.0,5629.0,1286.0,8124.0,2585.0,-3794.0,17624.0,1.5486623282718728,0.18597252349963847,0.8140274765003616,0.24138575030348305,0.7586142496965169,1,1,0,1
2020-06,2020,6,Q2,2020-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],107104.0,8625.0,98020.0,7091.0,6844.0,1781.0,5108.0,1983.0,1534.0,15716.0,0.8221449275362319,0.20649275362318842,0.7935072463768116,0.2796502608940911,0.7203497391059089,1,1,0,1
2020-07,2020,7,Q3,2020-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],108697.0,7709.0,101301.0,5662.0,5827.0,1882.0,3672.0,1990.0,2047.0,13371.0,0.7344662083279284,0.24413023738487483,0.7558697626151252,0.35146591310490993,0.6485340868950901,1,1,0,1
2020-08,2020,8,Q3,2020-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],109898.0,6790.0,103641.0,4871.0,4916.0,1874.0,3105.0,1766.0,1919.0,11661.0,0.7173784977908689,0.2759941089837997,0.7240058910162003,0.3625538903715869,0.6374461096284131,1,1,0,1
2020-09,2020,9,Q3,2020-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],111392.0,6733.0,104960.0,5233.0,4665.0,2068.0,3493.0,1740.0,1500.0,11966.0,0.7772166938957374,0.30714391801574337,0.6928560819842566,0.3325052551117906,0.6674947448882095,1,1,0,1
2020-10,2020,10,Q4,2020-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],112766.0,6924.0,106053.0,5260.0,4643.0,2281.0,3413.0,1847.0,1664.0,12184.0,0.7596764875794338,0.32943385326400926,0.6705661467359908,0.3511406844106464,0.6488593155893536,1,1,0,1
2020-11,2020,11,Q4,2020-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],112762.0,6459.0,106621.0,6178.0,3782.0,2677.0,3761.0,2417.0,281.0,12637.0,0.9564948134386128,0.41446044279300204,0.585539557206998,0.3912269342829395,0.6087730657170606,1,1,0,1
2020-12,2020,12,Q4,2020-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],115224.0,6880.0,107649.0,5291.0,4609.0,2271.0,3626.0,1665.0,1589.0,12171.0,0.7690406976744186,0.3300872093023256,0.6699127906976744,0.3146853146853147,0.6853146853146853,1,1,0,1
2021-01,2021,1,Q1,2021-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],115806.0,6218.0,109762.0,5661.0,4017.0,2201.0,3768.0,1893.0,557.0,11879.0,0.9104213573496301,0.35397233837246705,0.646027661627533,0.3343932167461579,0.665606783253842,1,1,0,1
2021-02,2021,2,Q1,2021-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],116311.0,6112.0,110124.0,5749.0,3973.0,2139.0,3823.0,1926.0,363.0,11861.0,0.9406086387434555,0.349967277486911,0.650032722513089,0.3350147851800313,0.6649852148199686,1,1,0,1
2021-03,2021,3,Q1,2021-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],116934.0,6022.0,110602.0,5507.0,3943.0,2079.0,3576.0,1931.0,515.0,11529.0,0.9144802391232149,0.3452341414812355,0.6547658585187646,0.35064463410205193,0.6493553658979481,1,1,0,1
2021-04,2021,4,Q2,2021-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],116735.0,5752.0,110774.0,5835.0,3481.0,2271.0,3792.0,2043.0,-83.0,11587.0,1.0144297635605006,0.3948191933240612,0.6051808066759388,0.35012853470437016,0.6498714652956298,1,1,0,1
2021-05,2021,5,Q2,2021-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],116810.0,5677.0,111040.0,5431.0,3831.0,1846.0,3708.0,1723.0,246.0,11108.0,0.956667253831249,0.325171745640303,0.6748282543596971,0.3172528079543362,0.6827471920456638,1,1,0,1
2021-06,2021,6,Q2,2021-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],116801.0,5905.0,110850.0,5691.0,3718.0,2187.0,3688.0,2003.0,214.0,11596.0,0.9637595258255716,0.3703640982218459,0.6296359017781541,0.35195923387805306,0.6480407661219469,1,1,0,1
2021-07,2021,7,Q3,2021-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],117307.0,5898.0,111398.0,5376.0,3805.0,2093.0,3520.0,1856.0,522.0,11274.0,0.9114954221770092,0.3548660562902679,0.6451339437097321,0.34523809523809523,0.6547619047619048,1,1,0,1
2021-08,2021,8,Q3,2021-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],117197.0,5735.0,111769.0,5680.0,3670.0,2065.0,3629.0,2051.0,55.0,11415.0,0.990409764603313,0.36006974716652135,0.6399302528334786,0.36109154929577464,0.6389084507042253,1,1,0,1
2021-09,2021,9,Q3,2021-Q3,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],116838.0,5825.0,111233.0,6412.0,3701.0,2124.0,4010.0,2402.0,-587.0,12237.0,1.1007725321888413,0.3646351931330472,0.6353648068669527,0.3746101060511541,0.6253898939488459,1,1,0,1
2021-10,2021,10,Q4,2021-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],116896.0,5824.0,111079.0,5889.0,3757.0,2067.0,3915.0,1974.0,-65.0,11713.0,1.0111607142857142,0.3549107142857143,0.6450892857142857,0.33520122261844115,0.6647987773815588,1,1,0,1
2021-11,2021,11,Q4,2021-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],117158.0,6105.0,111135.0,5825.0,3973.0,2132.0,3809.0,2016.0,280.0,11930.0,0.9541359541359541,0.3492219492219492,0.6507780507780507,0.3460944206008584,0.6539055793991416,1,1,0,1
2021-12,2021,12,Q4,2021-Q4,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],117210.0,5934.0,111233.0,6123.0,3821.0,2113.0,4015.0,2108.0,-189.0,12057.0,1.031850353892821,0.35608358611391977,0.6439164138860802,0.34427568185529966,0.6557243181447003,1,1,0,1
2022-01,2022,1,Q1,2022-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],117753.0,5967.0,111899.0,5637.0,3884.0,2083.0,3738.0,1899.0,330.0,11604.0,0.9446958270487682,0.3490866432042903,0.6509133567957097,0.3368813198509846,0.6631186801490154,1,1,0,1
2022-02,2022,2,Q1,2022-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],117884.0,6217.0,111595.0,6140.0,3874.0,2343.0,4044.0,2096.0,77.0,12357.0,0.9876146051150072,0.3768698729290655,0.6231301270709345,0.34136807817589576,0.6586319218241042,1,1,0,1
2022-03,2022,3,Q1,2022-Q1,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],118095.0,6137.0,111794.0,5865.0,3821.0,2316.0,3829.0,2036.0,272.0,12002.0,0.9556786703601108,0.37738308619846833,0.6226169138015317,0.3471440750213129,0.6528559249786872,1,1,0,1
2022-04,2022,4,Q2,2022-Q2,Alberta,AB,Prairies,Province/Territory,Business sector industries [T004],118377.0,5952.0,112200.0,5577.0,3851.0,2101.0,3687.0,1890.0,375.0,11529.0,0.9369959677419355,0.35299059139784944,0.6470094086021505,0.3388918773534158,0.6611081226465841,1,1,0,1
